,Date_UTC,Time_UTC,Date_Local,Time_Local,Time_Since_Previous_Report,Voyage_Number,Voyage_From,Voyage_To,Event,Cargo_Mt,Cargo_Capacity_Usage,Distance,Mode,ME_1_Average_Load,Latitude_Degree,Latitude_North_South,Longitude_Degree,Longitude_East_West,Boiler_Consumption,Boiler_Consumption_MGO,Boiler_Consumption_HFO,ME_Consumption,ME_Consumption_MGO,ME_Consumption_HFO,AE_Consumption_MGO,AE_Consumption_HFO,ME_calculated_SFOC,ME_1_Running_Hours,AE_calculated_SFOC,CO2_Emitted,NOX_Emitted,SOX_Emitted,IMO
0,2018-01-01,15:00,2018-01-01,12:00,24.0,1503,USGLS,SGSIN,NoonSea,260132.25,0.8691,303.0,Sailing,17290.0,6.0,North,45.0,West,0.1,0.0,0.1,78.5,0.0,78.5,0.0,2.9,178.5456,24.0,228.0881,253.791,7.0971,5.216,vessel_3
1,2018-01-02,15:00,2018-01-02,12:00,24.0,1503,USGLS,SGSIN,NoonSea,260132.25,0.8691,304.0,Sailing,17125.0,3.0,North,41.0,West,0.1,0.0,0.1,77.2,0.0,77.2,0.0,2.9,177.2806,24.0,223.6158,249.7428,6.9838,5.1328,vessel_3
2,2018-01-03,14:00,2018-01-03,12:00,23.0,1503,USGLS,SGSIN,NoonSea,260132.25,0.8691,299.0,Sailing,17540.0,0.0,North,37.0,West,0.1,0.0,0.1,76.1,0.0,76.1,0.0,2.8,178.0381,23.0,227.5226,246.006,6.8792,5.056,vessel_3
3,2018-01-04,14:00,2018-01-04,12:00,24.0,1503,USGLS,SGSIN,NoonSea,260132.25,0.8691,323.0,Sailing,17780.0,2.0,South,33.0,West,0.0,0.1,0.0,78.6,0.0,78.6,0.0,2.9,173.8463,24.0,238.6274,254.1116,7.1052,5.2162,vessel_3
4,2018-01-05,14:00,2018-01-05,12:00,24.0,1503,USGLS,SGSIN,NoonSea,260132.25,0.8691,315.0,Sailing,17630.0,5.0,South,29.0,West,0.1,0.0,0.1,77.5,0.0,77.5,0.0,2.9,172.8717,24.0,228.0881,250.677,7.01,5.152,vessel_3
5,2018-01-06,14:00,2018-01-06,12:00,24.0,1503,USGLS,SGSIN,NoonSea,260132.25,0.8691,317.0,Sailing,17750.0,8.0,South,24.0,West,0.1,0.0,0.1,77.9,0.0,77.9,0.0,2.9,172.5892,24.0,228.0881,251.9226,7.0448,5.1776,vessel_3
7,2018-01-07,13:00,2018-01-07,12:00,23.0,1503,USGLS,SGSIN,NoonSea,260132.25,0.8691,315.0,Sailing,17720.0,11.0,South,20.0,West,0.1,0.0,0.1,76.2,0.0,76.2,0.0,2.9,176.4612,23.0,226.203,246.6288,6.8966,5.0688,vessel_3
8,2018-01-08,13:00,2018-01-08,12:00,24.0,1503,USGLS,SGSIN,NoonSea,260132.25,0.8691,320.0,Sailing,17715.0,14.0,South,15.0,West,0.1,0.0,0.1,78.1,0.0,78.1,0.0,2.9,173.3742,24.0,228.0881,252.5454,7.0623,5.1904,vessel_3
9,2018-01-09,12:00,2018-01-09,12:00,23.0,1503,USGLS,SGSIN,NoonSea,260132.25,0.8691,306.0,Sailing,17670.0,17.0,South,11.0,West,0.0,0.1,0.0,76.1,0.0,76.1,0.0,2.8,176.7283,23.0,225.8697,246.0152,6.8785,5.0498,vessel_3
10,2018-01-10,12:00,2018-01-10,12:00,24.0,1503,USGLS,SGSIN,NoonSea,260132.25,0.8691,321.0,Sailing,17450.0,20.0,South,7.0,West,0.1,0.0,0.1,78.1,0.0,78.1,0.0,2.9,176.0071,24.0,228.0881,252.5454,7.0623,5.1904,vessel_3
