,Date_UTC,Time_UTC,Date_Local,Time_Local,Time_Since_Previous_Report,Voyage_Number,Voyage_From,Voyage_To,Event,Cargo_Mt,Cargo_Capacity_Usage,Distance,Mode,ME_1_Average_Load,Latitude_Degree,Latitude_North_South,Longitude_Degree,Longitude_East_West,Boiler_Consumption,Boiler_Consumption_MGO,Boiler_Consumption_HFO,ME_Consumption,ME_Consumption_MGO,ME_Consumption_HFO,AE_Consumption_MGO,AE_Consumption_HFO,ME_calculated_SFOC,ME_1_Running_Hours,AE_calculated_SFOC,CO2_Emitted,NOX_Emitted,SOX_Emitted,IMO
2,2018-01-02,11:00,2018-01-02,12:00,21.4,1703-L,AODAL,AOGIR,NoonRiver,131349.0,0.4375,16.0,Maneuvering,2300.0,7.0,South,11.0,East,4.2,0.1,4.2,2.2,0.0,2.2,0.0,3.7,225.1343,4.0,252.6797,31.772,0.5433,0.5313,vessel_2
3,2018-01-03,11:00,2018-01-03,12:00,24.0,1703-L,AODAL,AOGIR,NoonRiver,131349.0,0.4375,29.0,Maneuvering,2300.0,7.0,South,11.0,East,4.5,0.0,4.5,1.8,0.0,1.8,0.0,3.9,184.2008,4.0,239.9827,31.7628,0.5279,0.5365,vessel_2
5,2018-01-05,11:00,2018-01-05,12:00,24.0,1703-L,AODAL,AOGIR,NoonRiver,131349.0,0.4375,28.0,Maneuvering,2300.0,7.0,South,11.0,East,4.4,0.1,4.4,2.5,0.0,2.5,0.0,3.3,409.3351,2.5,238.0731,32.0834,0.536,0.5366,vessel_2
6,2018-01-06,11:00,2018-01-06,12:00,24.0,1703-L,AODAL,AOGIR,NoonRiver,131349.0,0.4375,42.0,Maneuvering,2300.0,7.0,South,11.0,East,4.1,0.0,4.1,3.0,0.0,3.0,0.0,3.4,491.2021,2.5,248.1396,32.697,0.5862,0.5523,vessel_2
7,2018-01-07,11:00,2018-01-07,12:00,24.0,1703-L,AODAL,AOGIR,NoonRiver,131349.0,0.4375,66.0,Maneuvering,2300.0,7.0,South,11.0,East,3.9,0.0,3.9,6.3,0.0,6.3,0.0,3.5,644.7028,4.0,248.6904,42.6618,0.8812,0.7206,vessel_2
8,2018-01-08,11:00,2018-01-08,12:00,24.0,1703-L,AODAL,AOGIR,NoonRiver,131349.0,0.4375,22.0,Maneuvering,2200.0,7.0,South,11.0,East,4.4,0.0,4.4,1.9,0.0,1.9,0.0,3.6,271.0295,3.0,194.2289,30.8286,0.5098,0.5207,vessel_2
9,2018-01-08,12:12,2018-01-08,13:12,1.2,1703-L,AOGIR,CNYPG,Arrival,131349.0,0.4375,1.0,Maneuvering,2010.0,0.0,0,0.0,0,0.3,0.1,0.3,0.1,0.0,0.1,0.0,0.4,234.1967,0.2,448.3194,2.8118,0.0457,0.0422,vessel_2
12,2018-01-09,23:00,2018-01-10,00:00,2.3,1703,AOGIR,CNYPG,BeginOfSeaPassage,264622.0,0.8814,2.0,Maneuvering,2100.0,7.0,South,11.0,East,0.8,0.0,0.8,0.6,0.0,0.6,0.0,0.8,268.9916,1.0,467.8115,6.8508,0.1276,0.1157,vessel_2
13,2018-01-10,11:00,2018-01-10,12:00,12.0,1703,AOGIR,CNYPG,NoonSea,264622.0,0.8814,120.0,Sailing,12000.0,9.0,South,10.0,East,0.6,0.0,0.6,21.3,0.0,21.3,0.0,1.8,167.1111,10.0,185.2074,73.8018,2.018,1.2466,vessel_2
15,2018-01-11,11:00,2018-01-11,12:00,24.0,1703,AOGIR,CNYPG,NoonSea,264622.0,0.8814,265.0,Sailing,11500.0,13.0,South,10.0,East,0.0,0.0,0.0,53.7,0.0,53.7,0.0,3.7,183.1775,24.0,217.7151,178.7436,5.0041,3.0192,vessel_2
18,2018-01-12,11:00,2018-01-12,12:00,24.0,1703,AOGIR,CNYPG,NoonSea,264622.0,0.8814,302.0,Sailing,13750.0,18.0,South,10.0,East,0.0,0.0,0.0,62.5,0.0,62.5,0.0,3.2,178.3089,24.0,228.2353,204.5898,5.7277,3.4558,vessel_2
19,2018-01-13,11:00,2018-01-13,12:00,24.0,1703,AOGIR,CNYPG,NoonSea,264622.0,0.8814,295.0,Sailing,13710.0,23.0,South,11.0,East,0.0,0.0,0.0,58.2,0.0,62.1,2.9,0.0,177.2703,24.0,233.9661,203.2996,5.669,3.8962,vessel_2
22,2018-01-14,11:00,2018-01-14,12:00,24.0,1703,AOGIR,CNYPG,NoonSea,264622.0,0.8814,282.0,Sailing,13800.0,27.0,South,13.0,East,0.0,0.0,0.0,63.2,0.0,63.2,3.2,0.0,179.2057,24.0,242.4291,207.064,5.772,3.9968,vessel_2
23,2018-01-15,11:00,2018-01-15,12:00,24.0,1703,AOGIR,CNYPG,NoonSea,264622.0,0.8814,292.0,Sailing,13900.0,32.0,South,14.0,East,0.0,0.0,0.0,62.9,0.0,62.9,3.3,0.0,177.0719,24.0,250.005,206.4504,5.7541,3.9779,vessel_2
25,2018-01-16,10:00,2018-01-16,12:00,23.0,1703,AOGIR,CNYPG,NoonSea,264622.0,0.8814,252.0,Sailing,13980.0,35.0,South,18.0,East,0.0,0.0,0.0,62.5,0.0,62.5,0.0,3.0,182.5451,23.0,322.4393,209.0966,5.8414,4.1409,vessel_2
27,2018-01-17,10:00,2018-01-17,12:00,24.0,1703,AOGIR,CNYPG,NoonSea,264622.0,0.8814,283.0,Sailing,13900.0,35.0,South,24.0,East,0.2,0.0,0.2,63.0,0.0,63.0,0.0,3.3,177.3535,24.0,231.4556,208.684,5.8224,4.2032,vessel_2
29,2018-01-18,09:00,2018-01-18,12:00,23.0,1703,AOGIR,CNYPG,NoonSea,264622.0,0.8814,225.0,Sailing,13800.0,34.0,South,28.0,East,0.1,0.0,0.1,59.1,0.0,59.1,0.0,3.1,174.8661,23.0,210.9637,194.0022,5.4233,3.9374,vessel_2
31,2018-01-19,09:00,2018-01-19,12:00,24.0,1703,AOGIR,CNYPG,NoonSea,264622.0,0.8814,269.0,Sailing,13900.0,32.0,South,33.0,East,0.0,0.0,0.0,62.5,0.0,62.5,0.0,3.3,175.9459,24.0,222.6383,204.9012,5.7364,4.1586,vessel_2
