,Date_UTC,Time_UTC,Date_Local,Time_Local,Time_Since_Previous_Report,Voyage_Number,Voyage_From,Voyage_To,Event,Cargo_Mt,Cargo_Capacity_Usage,Distance,Mode,ME_1_Average_Load,Latitude_Degree,Latitude_North_South,Longitude_Degree,Longitude_East_West,Boiler_Consumption,Boiler_Consumption_MGO,Boiler_Consumption_HFO,ME_Consumption,ME_Consumption_MGO,ME_Consumption_HFO,AE_Consumption_MGO,AE_Consumption_HFO,ME_calculated_SFOC,ME_1_Running_Hours,AE_calculated_SFOC,CO2_Emitted,NOX_Emitted,SOX_Emitted,IMO
33,2018-01-20,09:00,2018-01-20,12:00,24.0,1703,AOGIR,CNYPG,NoonSea,264622.0,0.8814,289.0,Sailing,14200.0,29.0,South,38.0,East,0.0,0.0,0.0,64.1,0.0,64.1,0.0,3.3,176.6378,24.0,218.8648,209.8836,5.8759,4.2597,vessel_2
35,2018-01-21,08:00,2018-01-21,12:00,23.0,1703,AOGIR,CNYPG,NoonSea,264622.0,0.8814,253.0,Sailing,14200.0,27.0,South,42.0,East,0.0,0.0,0.0,64.1,0.0,64.1,0.0,3.1,184.3177,23.0,218.2383,209.2608,5.8585,4.247,vessel_2
37,2018-01-22,08:00,2018-01-22,12:00,24.0,1703,AOGIR,CNYPG,NoonSea,264622.0,0.8814,264.0,Sailing,14700.0,25.0,South,46.0,East,0.0,0.0,0.0,66.6,0.0,66.6,0.0,3.4,177.2845,24.0,221.7387,217.98,6.1026,4.424,vessel_2
39,2018-01-23,08:00,2018-01-23,12:00,24.0,1703,AOGIR,CNYPG,NoonSea,264622.0,0.8814,310.0,Sailing,15100.0,23.0,South,52.0,East,0.0,0.0,0.0,67.1,0.0,67.1,0.0,3.4,173.8839,24.0,229.3849,219.537,6.1462,4.4556,vessel_2
41,2018-01-24,07:00,2018-01-24,12:00,23.0,1703,AOGIR,CNYPG,NoonSea,264622.0,0.8814,291.0,Sailing,13600.0,21.0,South,56.0,East,0.0,0.0,0.0,58.6,0.0,58.6,0.0,3.2,175.9365,23.0,217.769,192.4452,5.3877,3.9058,vessel_2
43,2018-01-25,07:00,2018-01-25,12:00,24.0,1703,AOGIR,CNYPG,NoonSea,264622.0,0.8814,296.0,Sailing,13600.0,19.0,South,61.0,East,0.0,0.0,0.0,60.6,0.0,60.6,0.0,3.4,174.3603,24.0,221.7387,199.296,5.5795,4.0448,vessel_2
45,2018-01-26,07:00,2018-01-26,12:00,24.0,1703,AOGIR,CNYPG,NoonSea,264622.0,0.8814,288.0,Sailing,13800.0,16.0,South,65.0,East,0.0,0.0,0.0,61.4,0.0,61.4,0.0,3.3,174.1018,24.0,234.7822,201.4758,5.6405,4.089,vessel_2
47,2018-01-27,07:00,2018-01-27,12:00,24.0,1703,AOGIR,CNYPG,NoonSea,264622.0,0.8814,301.0,Sailing,13600.0,14.0,South,70.0,East,0.0,0.0,0.0,59.0,0.0,59.0,0.0,3.5,169.7567,24.0,219.5692,194.625,5.4488,3.95,vessel_2
49,2018-01-28,06:00,2018-01-28,12:00,23.0,1703,AOGIR,CNYPG,NoonSea,264622.0,0.8814,301.0,Sailing,13200.0,11.0,South,74.0,East,0.0,0.0,0.0,57.3,0.0,57.3,0.0,3.2,177.2466,23.0,245.4715,188.7176,5.2826,3.8237,vessel_2
51,2018-01-29,06:00,2018-01-29,12:00,24.0,1703,AOGIR,CNYPG,NoonSea,264622.0,0.8814,302.0,Sailing,13100.0,9.0,South,78.0,East,0.0,0.0,0.0,58.8,0.0,58.8,0.0,3.2,175.6386,24.0,223.6021,193.068,5.4052,3.9184,vessel_2
53,2018-01-30,06:00,2018-01-30,12:00,24.0,1703,AOGIR,CNYPG,NoonSea,264622.0,0.8814,315.0,Sailing,11400.0,5.0,South,82.0,East,0.0,0.0,0.0,52.9,0.0,52.9,0.0,3.5,181.5786,24.0,225.4424,175.6296,4.917,3.5645,vessel_2
55,2018-01-31,05:00,2018-01-31,12:00,23.0,1703,AOGIR,CNYPG,NoonSea,264622.0,0.8814,297.0,Sailing,10900.0,2.0,South,86.0,East,0.0,0.0,0.0,48.1,0.0,48.1,0.0,3.3,180.1839,23.0,216.2683,160.0596,4.4811,3.2485,vessel_2
57,2018-02-01,05:00,2018-02-01,12:00,24.0,1703,AOGIR,CNYPG,NoonSea,264622.0,0.8814,291.0,Sailing,9300.0,1.0,North,89.0,East,1.3,0.1,1.3,46.1,0.0,46.1,0.0,3.8,193.9688,24.0,226.4397,159.7574,4.3592,3.2359,vessel_2
59,2018-02-02,05:00,2018-02-02,12:00,24.0,1703,AOGIR,CNYPG,NoonSea,264622.0,0.8814,293.0,Sailing,9700.0,4.0,North,93.0,East,0.3,0.0,0.3,46.4,0.0,46.4,0.0,3.8,187.1803,24.0,223.8826,157.257,4.3785,3.1916,vessel_2
61,2018-02-03,04:00,2018-02-03,12:00,23.0,1703,AOGIR,CNYPG,NoonSea,264622.0,0.8814,256.0,Sailing,11200.0,6.0,North,96.0,East,0.2,0.0,0.2,47.8,0.0,47.8,0.0,3.5,174.2638,23.0,238.1848,160.371,4.4737,3.2548,vessel_2
63,2018-02-04,04:00,2018-02-04,12:00,24.0,1703,AOGIR,CNYPG,NoonSea,264622.0,0.8814,282.0,Sailing,12000.0,3.0,North,100.0,East,0.1,0.0,0.1,51.3,0.0,51.3,0.0,3.5,167.2823,24.0,205.1779,170.9586,4.7782,3.4697,vessel_2
65,2018-02-05,04:00,2018-02-05,12:00,24.0,1703,AOGIR,CNYPG,NoonSea,264622.0,0.8814,264.0,Sailing,11300.0,1.0,North,103.0,East,0.3,0.0,0.3,50.3,0.0,50.3,0.0,4.0,174.1821,24.0,237.1537,170.0244,4.7359,3.4507,vessel_2
67,2018-02-06,04:00,2018-02-06,12:00,24.0,1703,AOGIR,CNYPG,NoonSea,264622.0,0.8814,270.0,Sailing,12900.0,4.0,North,106.0,East,0.3,0.1,0.3,59.7,0.0,59.7,0.0,3.7,181.0917,24.0,202.0219,198.6824,5.5293,4.0259,vessel_2
69,2018-02-07,04:00,2018-02-07,12:00,24.0,1703,AOGIR,CNYPG,NoonSea,264622.0,0.8814,249.0,Sailing,14200.0,7.0,North,109.0,East,0.0,0.0,0.0,64.5,0.0,64.5,0.0,3.5,177.74,24.0,219.8629,211.752,5.9282,4.2976,vessel_2
71,2018-02-08,04:00,2018-02-08,12:00,24.0,1703,AOGIR,CNYPG,NoonSea,264622.0,0.8814,256.0,Sailing,13200.0,11.0,North,110.0,East,0.0,0.0,0.0,60.5,0.0,60.5,0.0,3.5,179.3475,24.0,189.8874,199.296,5.5795,4.0448,vessel_2
73,2018-02-09,04:00,2018-02-09,12:00,24.0,1703,AOGIR,CNYPG,NoonSea,264622.0,0.8814,254.0,Sailing,12800.0,15.0,North,109.0,East,0.0,0.0,0.0,59.1,0.0,59.1,0.0,3.4,180.6722,24.0,229.3849,194.625,5.4488,3.95,vessel_2
75,2018-02-10,04:00,2018-02-10,12:00,24.0,1703,AOGIR,CNYPG,NoonSea,264622.0,0.8814,278.0,Sailing,10400.0,19.0,North,108.0,East,0.2,0.0,0.2,49.3,0.0,49.3,0.0,3.4,185.493,24.0,240.4396,164.7306,4.5958,3.3433,vessel_2
77,2018-02-10,08:00,2018-02-10,16:00,4.0,1703,AOGIR,CNYPG,EndOfSeaPassage,264622.0,0.8814,39.0,Sailing,6300.0,19.0,North,108.0,East,0.2,0.0,0.2,5.3,0.0,5.3,0.0,0.7,197.5152,4.0,249.0114,19.3068,0.5245,0.3918,vessel_2
78,2018-02-10,11:24,2018-02-10,19:24,3.4,1703,AOGIR,CNYPG,StoppageArrival,264622.0,0.8814,14.0,Maneuvering,2010.0,19.0,North,108.0,East,0.6,0.0,0.6,1.0,0.0,1.0,0.0,0.6,155.7427,3.0,268.3225,6.8508,0.1436,0.139,vessel_2
80,2018-02-11,04:00,2018-02-11,12:00,6.8,1703,AOGIR,CNYPG,StoppageArrival,264622.0,0.8814,13.0,Maneuvering,2010.0,19.0,North,108.0,East,1.3,0.0,1.3,2.2,0.0,2.2,0.0,1.5,151.1621,6.8,258.9509,15.57,0.3315,0.316,vessel_2
82,2018-02-12,08:30,2018-02-12,16:30,6.5,1703,CNYPG,CNTAO,Arrival,264622.0,0.8814,12.0,Maneuvering,2020.0,0.0,0,0.0,0,2.1,0.0,2.1,0.9,0.0,0.9,0.0,1.6,209.2119,2.0,268.8025,14.3244,0.2324,0.2907,vessel_2
86,2018-02-15,05:00,2018-02-15,13:00,2.5,1703,CNYPG,CNTAO,BeginOfSeaPassage,131349.0,0.4375,16.0,Maneuvering,2900.0,19.0,North,108.0,East,0.6,0.0,0.6,1.8,0.0,1.8,0.0,0.7,291.4538,2.0,292.1734,9.6534,0.2221,0.1959,vessel_2
87,2018-02-16,04:00,2018-02-16,12:00,23.0,1703,CNYPG,CNTAO,NoonSea,131349.0,0.4375,294.0,Sailing,11600.0,17.0,North,110.0,East,0.0,0.0,0.0,50.3,0.0,50.3,0.0,3.4,177.0546,23.0,210.7616,167.2218,4.6816,3.3938,vessel_2
89,2018-02-17,04:00,2018-02-17,12:00,24.0,1703,CNYPG,CNTAO,NoonSea,131349.0,0.4375,300.0,Sailing,11500.0,19.0,North,115.0,East,0.0,0.0,0.0,51.7,0.0,51.7,0.0,3.2,175.9165,24.0,227.6676,170.9586,4.7862,3.4697,vessel_2
91,2018-02-18,04:00,2018-02-18,12:00,24.0,1703,CNYPG,CNTAO,NoonSea,131349.0,0.4375,273.0,Sailing,12000.0,20.0,North,120.0,East,0.0,0.0,0.0,54.6,0.0,54.6,0.0,3.4,178.0432,24.0,237.5772,180.612,5.0564,3.6656,vessel_2
93,2018-02-19,04:00,2018-02-19,12:00,24.0,1703,CNYPG,CNTAO,NoonSea,131349.0,0.4375,320.0,Sailing,11460.0,25.0,North,123.0,East,0.0,0.0,0.0,52.6,0.0,52.6,0.0,3.3,179.6036,24.0,226.5442,174.0726,4.8734,3.5329,vessel_2
95,2018-02-20,04:00,2018-02-20,12:00,24.0,1703,CNYPG,CNTAO,NoonSea,131349.0,0.4375,292.0,Sailing,11350.0,29.0,North,125.0,East,0.0,0.0,0.0,50.1,0.0,50.1,0.0,3.4,172.7252,24.0,218.7012,166.599,4.6641,3.3812,vessel_2
97,2018-02-21,04:00,2018-02-21,12:00,24.0,1703,CNYPG,CNTAO,NoonSea,131349.0,0.4375,285.0,Sailing,11300.0,33.0,North,124.0,East,0.0,0.0,0.0,49.1,0.0,49.1,0.0,3.4,170.0266,24.0,246.3764,163.485,4.577,3.318,vessel_2
99,2018-02-21,20:00,2018-02-22,04:00,16.0,1703,CNYPG,CNTAO,EndOfSeaPassage,131349.0,0.4375,182.0,Sailing,7500.0,35.0,North,121.0,East,1.8,0.0,1.8,24.3,0.0,24.3,0.0,3.2,190.1736,16.0,268.3225,91.2402,2.4099,1.8518,vessel_2
100,2018-02-21,23:36,2018-02-22,07:36,3.6,1703,CNYPG,CNTAO,StoppageArrival,131349.0,0.4375,26.0,Maneuvering,4200.0,35.0,North,121.0,East,0.5,0.0,0.5,2.4,0.0,2.4,0.0,0.7,149.0681,3.6,260.8691,11.2104,0.2737,0.2275,vessel_2
103,2018-02-23,04:30,2018-02-23,12:30,9.0,1703,CNTAO,"FPSO, PSVM TERMINAL,",Arrival,131349.0,0.4375,43.0,Maneuvering,3100.0,36.0,North,120.0,East,1.0,0.0,1.0,4.5,0.0,4.5,0.0,1.5,227.2086,6.0,223.6021,21.798,0.53,0.4424,vessel_2
106,2018-02-24,20:30,2018-02-25,04:30,5.3,1801,CNTAO,"FPSO, PSVM TERMINAL,",BeginOfSeaPassage,0.0,0.0,0.0,Maneuvering,4500.0,35.0,North,121.0,East,0.6,0.0,0.6,5.7,0.0,5.7,0.0,0.8,224.4459,5.3,202.5076,22.1094,0.5708,0.4487,vessel_2
107,2018-02-25,04:00,2018-02-25,12:00,7.5,1801,CNTAO,"FPSO, PSVM TERMINAL,",NoonSea,0.0,0.0,89.0,Sailing,6500.0,34.0,North,122.0,East,0.0,0.0,0.0,11.7,0.0,11.7,0.0,1.0,225.3909,7.5,201.9632,39.5478,1.1072,0.8026,vessel_2
108,2018-02-26,04:00,2018-02-26,12:00,24.0,1801,CNTAO,"FPSO, PSVM TERMINAL,",NoonSea,0.0,0.0,312.0,Sailing,9300.0,30.0,North,126.0,East,0.3,0.0,0.3,42.8,0.0,42.8,0.0,3.4,180.0838,24.0,221.7387,144.801,4.0298,2.9388,vessel_2
110,2018-02-27,04:00,2018-02-27,12:00,24.0,1801,CNTAO,"FPSO, PSVM TERMINAL,",NoonSea,0.0,0.0,280.0,Sailing,6520.0,26.0,North,124.0,East,0.6,0.0,0.6,32.7,0.0,32.7,0.0,4.2,196.252,24.0,234.7822,116.775,3.2211,2.37,vessel_2
112,2018-02-28,04:00,2018-02-28,12:00,24.0,1801,CNTAO,"FPSO, PSVM TERMINAL,",NoonSea,0.0,0.0,263.0,Sailing,6400.0,22.0,North,122.0,East,0.6,0.0,0.6,33.4,0.0,33.4,0.0,4.0,204.2116,24.0,217.3909,118.332,3.2647,2.4016,vessel_2
114,2018-03-01,04:00,2018-03-01,12:00,24.0,1801,CNTAO,"FPSO, PSVM TERMINAL,",NoonSea,0.0,0.0,216.0,Sailing,3950.0,19.0,North,119.0,East,2.6,0.0,2.6,20.7,0.0,20.7,0.0,4.0,205.0629,24.0,205.9493,85.0122,2.1713,1.7254,vessel_2
116,2018-03-02,04:00,2018-03-02,12:00,24.0,1801,CNTAO,"FPSO, PSVM TERMINAL,",NoonSea,0.0,0.0,251.0,Sailing,3920.0,16.0,North,116.0,East,2.4,0.0,2.4,21.7,0.0,21.7,0.0,4.2,216.6145,24.0,222.0913,88.1262,2.2745,1.7886,vessel_2
118,2018-03-03,04:00,2018-03-03,12:00,24.0,1801,CNTAO,"FPSO, PSVM TERMINAL,",NoonSea,0.0,0.0,263.0,Sailing,5300.0,13.0,North,113.0,East,2.4,0.0,2.4,24.1,0.0,24.1,0.0,4.5,177.9324,24.0,220.1083,96.534,2.5099,1.9592,vessel_2
120,2018-03-04,04:00,2018-03-04,12:00,24.0,1801,CNTAO,"FPSO, PSVM TERMINAL,",NoonSea,0.0,0.0,248.0,Sailing,5300.0,10.0,North,111.0,East,2.4,0.0,2.4,21.0,0.0,21.0,0.0,4.4,155.0448,24.0,215.217,86.5692,2.2309,1.757,vessel_2
122,2018-03-05,04:00,2018-03-05,12:00,24.0,1801,CNTAO,"FPSO, PSVM TERMINAL,",NoonSea,0.0,0.0,246.0,Sailing,5300.0,7.0,North,108.0,East,2.3,0.0,2.3,21.0,0.0,21.0,0.0,4.4,155.0448,24.0,215.217,86.2578,2.2302,1.7506,vessel_2
124,2018-03-06,04:00,2018-03-06,12:00,24.0,1801,CNTAO,"FPSO, PSVM TERMINAL,",NoonSea,0.0,0.0,226.0,Sailing,5200.0,4.0,North,106.0,East,2.2,0.0,2.2,18.8,0.0,18.8,0.0,4.1,141.4713,24.0,200.5431,78.1614,2.0116,1.5863,vessel_2
126,2018-03-06,22:00,2018-03-07,06:00,18.0,1801,CNTAO,"FPSO, PSVM TERMINAL,",EndOfSeaPassage,0.0,0.0,180.0,Sailing,5100.0,1.0,North,104.0,East,1.4,0.0,1.4,17.5,0.0,17.5,0.0,3.6,179.0278,18.0,234.7822,70.065,1.8491,1.422,vessel_2
127,2018-03-07,06:30,2018-03-07,14:30,8.5,1801,CNTAO,"FPSO, PSVM TERMINAL,",StoppageArrival,0.0,0.0,64.0,Maneuvering,2800.0,1.0,North,103.0,East,1.5,0.0,1.5,5.5,0.0,5.5,0.0,1.7,217.0256,8.5,268.3225,27.0918,0.638,0.5498,vessel_2
130,2018-03-08,13:36,2018-03-08,21:36,5.5,1801,CNTAO,"FPSO, PSVM TERMINAL,",BeginOfSeaPassage,0.0,0.0,64.0,Maneuvering,6700.0,1.0,North,103.0,East,0.4,0.0,0.4,6.3,0.0,6.3,0.0,1.1,160.5566,5.5,187.8258,24.2892,0.6479,0.493,vessel_2
131,2018-03-09,04:00,2018-03-09,12:00,14.4,1801,CNTAO,"FPSO, PSVM TERMINAL,",NoonSea,0.0,0.0,158.0,Sailing,6250.0,2.0,North,100.0,East,1.1,0.0,1.1,13.1,0.0,13.1,0.0,2.8,136.6954,14.4,202.8982,52.938,1.3937,1.0744,vessel_2
133,2018-03-10,05:00,2018-03-10,12:00,25.0,1801,CNTAO,"FPSO, PSVM TERMINAL,",NoonSea,0.0,0.0,346.0,Sailing,8060.0,6.0,North,96.0,East,0.3,0.0,0.6,46.4,0.0,46.4,0.0,4.2,216.7952,25.0,227.3395,159.4368,4.4154,2.7408,vessel_2
135,2018-03-11,05:00,2018-03-11,12:00,24.0,1801,CNTAO,"FPSO, PSVM TERMINAL,",NoonSea,0.0,0.0,304.0,Sailing,6510.0,3.0,North,92.0,East,0.5,0.0,0.5,37.1,0.0,37.1,0.0,4.4,223.5571,24.0,253.5172,130.788,3.6214,2.2092,vessel_2
137,2018-03-12,05:00,2018-03-12,12:00,24.0,1801,CNTAO,"FPSO, PSVM TERMINAL,",NoonSea,0.0,0.0,314.0,Sailing,11770.0,0.0,North,88.0,East,0.5,0.0,0.5,54.6,0.0,54.6,0.0,4.0,181.975,24.0,240.9394,184.0374,5.1122,3.1087,vessel_2
139,2018-03-13,06:00,2018-03-13,12:00,25.0,1801,CNTAO,"FPSO, PSVM TERMINAL,",NoonSea,0.0,0.0,307.0,Sailing,14236.0,3.0,South,85.0,East,1.1,0.0,1.1,55.8,0.0,55.8,0.0,4.1,147.6091,25.0,230.0375,189.954,5.2297,3.2086,vessel_2
141,2018-03-14,06:00,2018-03-14,12:00,24.0,1801,CNTAO,"FPSO, PSVM TERMINAL,",NoonSea,0.0,0.0,304.0,Sailing,9670.0,6.0,South,81.0,East,0.0,0.0,0.0,53.8,0.0,53.8,0.0,3.9,218.2486,24.0,245.7146,179.6778,5.0303,3.0171,vessel_2
143,2018-03-15,06:00,2018-03-15,12:00,24.0,1801,CNTAO,"FPSO, PSVM TERMINAL,",NoonSea,0.0,0.0,308.0,Sailing,12195.0,10.0,South,77.0,East,0.0,0.0,0.0,54.0,0.0,54.0,0.0,3.9,173.7031,24.0,210.4147,180.3006,5.0477,3.0455,vessel_2
145,2018-03-16,07:00,2018-03-16,12:00,25.0,1801,CNTAO,"FPSO, PSVM TERMINAL,",NoonSea,0.0,0.0,330.0,Sailing,9800.0,12.0,South,72.0,East,0.0,0.0,0.0,56.3,0.0,56.3,0.0,4.0,216.3461,25.0,239.8652,187.7742,5.257,3.1718,vessel_2
147,2018-03-17,07:00,2018-03-17,12:00,24.0,1801,CNTAO,"FPSO, PSVM TERMINAL,",NoonSea,0.0,0.0,305.0,Sailing,7870.0,14.0,South,68.0,East,0.0,0.0,0.0,38.5,0.0,38.5,0.0,4.5,191.9029,24.0,238.5483,133.902,3.7487,2.2618,vessel_2
149,2018-03-18,08:00,2018-03-18,12:00,25.0,1801,CNTAO,"FPSO, PSVM TERMINAL,",NoonSea,0.0,0.0,323.0,Sailing,8260.0,17.0,South,62.0,East,0.0,0.0,0.0,43.1,0.0,43.1,0.0,4.7,196.5007,25.0,235.9953,148.8492,4.1672,2.5143,vessel_2
151,2018-03-19,08:00,2018-03-19,12:00,24.0,1801,CNTAO,"FPSO, PSVM TERMINAL,",NoonSea,0.0,0.0,309.0,Sailing,8260.0,19.0,South,58.0,East,0.0,0.0,0.0,41.3,0.0,41.3,0.0,4.3,196.1397,24.0,263.5628,141.9984,3.9754,2.3986,vessel_2
153,2018-03-20,08:00,2018-03-20,12:00,24.0,1801,CNTAO,"FPSO, PSVM TERMINAL,",NoonSea,0.0,0.0,280.0,Sailing,10080.0,21.0,South,53.0,East,0.0,0.0,0.0,43.1,0.0,43.1,0.0,4.3,167.7306,24.0,240.9717,147.6036,4.1323,2.4932,vessel_2
155,2018-03-21,08:00,2018-03-21,12:00,24.0,1801,CNTAO,"FPSO, PSVM TERMINAL,",NoonSea,0.0,0.0,300.0,Sailing,10085.0,24.0,South,49.0,East,0.0,0.0,0.0,54.8,0.0,54.8,0.0,3.8,213.1573,24.0,269.8031,182.4804,5.1087,3.0824,vessel_2
157,2018-03-22,09:00,2018-03-22,12:00,25.0,1801,CNTAO,"FPSO, PSVM TERMINAL,",NoonSea,0.0,0.0,353.0,Sailing,8310.0,27.0,South,43.0,East,1.9,0.0,1.9,42.1,0.0,42.1,0.0,4.8,190.7866,25.0,195.2921,151.9632,4.1018,2.5669,vessel_2
160,2018-03-23,09:00,2018-03-23,12:00,0.0,1801,CNTAO,"FPSO, PSVM TERMINAL,",NoonSea,0.0,0.0,0.0,Sailing,0.0,29.0,South,38.0,East,12.8,0.0,12.8,40.0,0.0,40.0,0.0,6.8,0.0,0.0,0.0,185.5944,4.1682,3.135,vessel_2
162,2018-03-24,09:00,2018-03-24,12:00,0.0,1801,CNTAO,"FPSO, PSVM TERMINAL,",NoonSea,0.0,0.0,0.0,Sailing,0.0,31.0,South,33.0,East,10.8,0.0,10.8,43.1,0.0,43.1,0.0,6.4,0.0,0.0,0.0,187.7742,4.3898,3.1718,vessel_2
165,2018-03-25,10:00,2018-03-25,12:00,25.0,1801,CNTAO,"FPSO, PSVM TERMINAL,",NoonSea,0.0,0.0,302.0,Sailing,7920.0,33.0,South,27.0,East,0.0,0.0,0.0,38.9,0.0,38.9,0.0,4.2,184.9657,25.0,237.6308,134.2134,3.7575,2.2671,vessel_2
