,Date_UTC,Time_UTC,Date_Local,Time_Local,Time_Since_Previous_Report,Voyage_Number,Voyage_From,Voyage_To,Event,Cargo_Mt,Cargo_Capacity_Usage,Distance,Mode,ME_1_Average_Load,Latitude_Degree,Latitude_North_South,Longitude_Degree,Longitude_East_West,Boiler_Consumption,Boiler_Consumption_MGO,Boiler_Consumption_HFO,ME_Consumption,ME_Consumption_MGO,ME_Consumption_HFO,AE_Consumption_MGO,AE_Consumption_HFO,ME_calculated_SFOC,ME_1_Running_Hours,AE_calculated_SFOC,CO2_Emitted,NOX_Emitted,SOX_Emitted,IMO
133,2018-02-28,15:36,2018-02-28,09:36,2.6,1804,USTXT,USHOU,BeginOfSeaPassage,0.0,0.0,20.0,Maneuvering,6276.8182,29.0,North,94.0,West,0.0,0.1,0.0,3.2,3.2,0.0,0.4,0.0,231.4352,2.2,219.4979,11.8622,0.2792,0.0064,vessel_1
604,2018-09-24,04:00,2018-09-23,23:00,11.0,1825,USGUM,MXDBT,EndOfSeaPassage,0.0,0.0,117.0,Sailing,8430.0,18.0,North,93.0,West,0.0,0.0,0.0,15.1,0.0,15.1,0.0,1.5,153.4219,11.0,184.2581,51.6924,1.2922,1.0624,vessel_1
605,2018-09-24,05:06,2018-09-24,00:06,1.1,1825,USGUM,MXDBT,StoppageArrival,0.0,0.0,3.0,Maneuvering,2240.0,18.0,North,93.0,West,0.1,0.0,0.1,0.4,0.0,0.4,0.0,0.2,152.9502,1.1,214.1303,2.1798,0.0441,0.0448,vessel_1
609,2018-09-26,16:18,2018-09-26,11:18,3.8,1825,MXDBT,USHOU,Arrival,0.0,0.0,6.0,Maneuvering,1210.0,0.0,0,0.0,0,0.4,0.0,0.4,0.8,0.0,0.8,0.0,0.5,163.9275,3.8,172.1808,5.2938,0.0952,0.1088,vessel_1
613,2018-09-27,22:18,2018-09-27,17:18,3.4,1825.,MXDBT,USHOU,BeginOfSeaPassage,80479.05,0.7056,4.8,Maneuvering,2200.0,18.0,North,93.0,West,0.7,0.0,0.7,1.2,0.0,1.2,0.0,0.6,151.1508,3.4,207.8324,7.785,0.1349,0.16,vessel_1
615,2018-09-28,17:00,2018-09-28,12:00,18.7,1825.,MXDBT,USHOU,NoonSea,80479.05,0.7056,238.0,Sailing,11740.0,22.0,North,93.0,West,0.0,0.0,0.0,35.7,0.0,35.7,0.0,1.9,153.2108,18.7,208.1062,117.0864,2.9611,2.4064,vessel_1
616,2018-09-29,05:00,2018-09-29,00:00,12.0,1825.,MXDBT,USHOU,BeginFuelChangeOver,80479.05,0.7056,150.0,Sailing,11200.0,25.0,North,94.0,West,0.0,0.0,0.0,20.9,0.0,20.9,0.0,0.6,146.5136,12.0,57.4496,66.951,1.7043,1.376,vessel_1
785,2018-12-11,23:00,2018-12-11,17:00,1.5,1833,USLCH,USPNS,BeginOfSeaPassage,0.0,0.0,10.0,Maneuvering,5770.0,28.0,North,93.0,West,1.3,1.3,0.0,1.4,1.4,0.0,0.2,0.0,220.581,1.1,166.67,9.2974,0.1322,0.0049,vessel_1
786,2018-12-12,18:00,2018-12-12,12:00,19.0,1833,USLCH,USPNS,NoonSea,0.0,0.0,156.0,Sailing,4482.75,27.0,North,91.0,West,13.5,13.5,0.0,13.9,13.9,0.0,2.9,0.0,193.8023,16.0,169.594,97.1418,1.3691,0.0509,vessel_1
787,2018-12-13,18:00,2018-12-13,12:00,24.0,1833,USLCH,USPNS,NoonSea,0.0,0.0,186.0,Sailing,2551.2083,27.0,North,87.0,West,10.6,10.6,0.0,12.5,12.5,0.0,2.7,0.0,204.1557,24.0,160.7175,82.7148,1.2258,0.0433,vessel_1
788,2018-12-14,13:42,2018-12-14,07:42,19.7,1833,USLCH,USPNS,EndOfSeaPassage,0.0,0.0,154.0,Sailing,2552.9016,30.0,North,87.0,West,4.8,4.8,0.0,9.2,9.2,0.0,3.0,0.0,186.7261,19.3,217.5533,54.502,0.9393,0.0286,vessel_1
789,2018-12-14,18:00,2018-12-14,12:00,4.3,1833,USLCH,USPNS,NoonRiver,0.0,0.0,25.0,Maneuvering,2498.5,30.0,North,87.0,West,0.1,0.1,0.0,1.7,1.7,0.0,0.5,0.0,170.1054,4.0,223.618,7.3738,0.165,0.0039,vessel_1
790,2018-12-14,20:36,2018-12-14,14:36,2.6,1833,USPNS,VEJOT,Arrival,0.0,0.0,2.0,Maneuvering,1360.0,30.0,North,87.0,West,0.0,0.5,0.0,0.1,0.1,0.0,0.6,0.0,147.0618,0.5,240.3894,3.8472,0.0456,0.0019,vessel_1
801,2018-12-24,18:00,2018-12-24,12:00,1.6,1833,USPNS,VEJOT,NoonRiver,0.0,0.0,12.0,Maneuvering,3514.5455,30.0,North,87.0,West,0.2,0.2,0.0,0.9,0.9,0.0,0.3,0.0,232.8034,1.1,173.6146,4.4884,0.0904,0.0024,vessel_1
802,2018-12-24,20:00,2018-12-24,14:00,2.0,1834,USPNS,VEJOT,BeginOfSeaPassage,0.0,0.0,18.0,Maneuvering,3076.1111,30.0,North,87.0,West,0.2,0.2,0.0,1.3,1.3,0.0,0.3,0.0,234.7889,1.8,166.67,5.7708,0.1224,0.003,vessel_1
804,2018-12-25,17:45,2018-12-25,11:45,21.75,1834,USPNS,VEJOT,BeginFuelChangeOver,0.0,0.0,267.0,Sailing,7991.5,25.0,North,87.0,West,13.3,13.3,0.0,35.3,35.3,0.0,0.0,0.0,203.0934,21.75,166.4718,169.2768,3.1519,0.086,vessel_1
805,2018-12-25,18:00,2018-12-25,12:00,0.25,1834,USPNS,VEJOT,NoonSea,0.0,0.0,3.0,Sailing,7991.5,25.0,North,87.0,West,0.2,0.2,0.0,0.3,0.0,0.3,0.0,0.0,141.4763,0.25,344.8345,1.896,0.0311,0.0197,vessel_1
806,2018-12-25,20:48,2018-12-25,14:48,2.8,1834,USPNS,VEJOT,EndFuelChangeOver,0.0,0.0,31.5,Sailing,7168.0,25.0,North,86.0,West,2.2,2.2,0.0,5.0,0.0,5.0,0.0,0.0,234.7171,2.8,132.2778,23.9056,0.4375,0.3239,vessel_1
807,2018-12-26,17:00,2018-12-26,12:00,20.2,1834,USPNS,VEJOT,NoonSea,0.0,0.0,205.0,Sailing,7168.0,21.0,North,85.0,West,13.4,13.4,0.0,32.0,0.0,32.0,0.0,0.0,208.2243,20.2,183.3553,155.4324,2.8775,2.0746,vessel_1
808,2018-12-27,16:00,2018-12-27,12:00,23.0,1834,USPNS,VEJOT,NoonSea,0.0,0.0,266.0,Sailing,8048.913,19.0,North,81.0,West,0.0,1.6,0.0,37.2,0.0,37.2,2.6,0.0,189.3253,23.0,160.2891,130.863,3.1604,2.4195,vessel_1
809,2018-12-28,16:00,2018-12-28,12:00,24.0,1834,USPNS,VEJOT,NoonSea,0.0,0.0,263.0,Sailing,7943.0833,18.0,North,77.0,West,0.2,0.2,0.0,32.0,0.0,32.0,3.0,0.0,158.1541,24.0,170.3611,109.9072,2.7295,2.0534,vessel_1
810,2018-12-29,16:00,2018-12-29,12:00,24.0,1834,USPNS,VEJOT,NoonSea,0.0,0.0,233.0,Sailing,8233.1667,15.0,North,75.0,West,0.0,0.0,0.0,35.0,0.0,35.0,2.8,0.0,166.8863,24.0,171.572,117.9668,2.9565,2.2447,vessel_1
811,2018-12-30,16:00,2018-12-30,12:00,24.0,1834,USPNS,VEJOT,NoonSea,0.0,0.0,225.0,Sailing,8203.3333,14.0,North,70.0,West,0.0,0.0,0.0,35.0,0.0,35.0,2.8,0.0,167.4932,24.0,179.4908,117.9668,2.9565,2.2447,vessel_1
812,2018-12-31,16:00,2018-12-31,12:00,24.0,1834,USPNS,VEJOT,NoonSea,0.0,0.0,243.0,Sailing,8557.25,12.0,North,66.0,West,0.0,0.0,0.1,37.9,0.0,37.9,2.8,0.0,173.87,24.0,182.2953,127.3088,3.1889,2.4367,vessel_1
813,2019-01-01,12:00,2019-01-01,08:00,20.0,1834,USPNS,VEJOT,EndOfSeaPassage,0.0,0.0,216.0,Sailing,8010.5,10.0,North,64.0,West,0.0,0.0,0.6,28.6,0.0,28.6,2.2,0.0,168.1927,20.0,180.3315,97.982,2.415,1.8725,vessel_1
814,2019-01-01,14:48,2019-01-01,10:48,2.8,1834,USPNS,VEJOT,StoppageArrival,0.0,0.0,20.0,Maneuvering,3393.1818,10.0,North,64.0,West,0.4,0.0,0.4,1.4,0.0,1.4,0.0,0.0,176.6969,2.2,158.7333,6.8876,0.1374,0.1159,vessel_1
823,2019-01-07,20:30,2019-01-07,16:30,2.6,1834,VEJOT,USLCH,Arrival,0.0,0.0,10.0,Maneuvering,1543.75,0.0,0,0.0,0,0.0,0.0,0.3,0.9,0.0,0.9,0.6,0.0,686.604,0.8,213.6795,5.6604,0.1082,0.0778,vessel_1
826,2019-01-09,16:00,2019-01-09,12:00,24.0,1834,VEJOT,USLCH,NoonPort,82517.18,0.7234,0.0,Waiting in port,0.0,0.0,0,0.0,0,4.5,0.0,4.5,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,27.3678,0.2979,0.3698,vessel_1
828,2019-01-09,23:00,2019-01-09,19:00,0.9,1834,VEJOT,USLCH,BeginOfSeaPassage,82517.18,0.7234,7.0,Maneuvering,5683.3333,10.0,North,64.0,West,0.5,0.0,0.5,0.9,0.0,0.9,0.0,0.0,248.6674,0.6,217.8693,5.0008,0.0868,0.0899,vessel_1
829,2019-01-10,16:00,2019-01-10,12:00,17.0,1834,VEJOT,USLCH,NoonSea,82517.18,0.7234,221.0,Sailing,10490.4118,11.0,North,68.0,West,9.4,0.0,9.4,29.4,0.0,29.4,0.0,0.0,155.3233,17.0,176.4741,128.5176,2.5509,2.4872,vessel_1
830,2019-01-11,17:00,2019-01-11,12:00,25.0,1834,VEJOT,USLCH,NoonSea,82517.18,0.7234,329.0,Sailing,8411.48,14.0,North,73.0,West,15.9,0.0,15.9,34.6,0.0,34.6,0.0,0.0,155.0224,25.0,182.2258,170.4016,3.1082,3.2389,vessel_1
831,2019-01-12,17:00,2019-01-12,12:00,24.0,1834,VEJOT,USLCH,NoonSea,82517.18,0.7234,310.0,Sailing,8564.25,16.0,North,78.0,West,15.0,0.0,15.0,33.0,0.0,33.0,0.0,0.0,151.267,24.0,180.5591,161.9754,2.9627,3.0786,vessel_1
832,2019-01-13,17:00,2019-01-13,12:00,24.0,1834,VEJOT,USLCH,NoonSea,82517.18,0.7234,311.0,Sailing,9470.0833,19.0,North,82.0,West,15.9,0.0,15.9,40.8,0.0,40.8,0.0,0.0,169.1321,24.0,189.3977,189.3878,3.5979,3.6355,vessel_1
833,2019-01-14,18:00,2019-01-14,12:00,25.0,1834,VEJOT,USLCH,NoonSea,82517.18,0.7234,441.0,Sailing,9486.4,22.0,North,89.0,West,15.3,0.0,15.3,41.0,0.0,41.0,0.0,0.0,162.882,25.0,195.242,188.4628,3.6155,3.6101,vessel_1
835,2019-01-15,10:50,2019-01-15,04:50,16.8333,1834,VEJOT,USLCH,BeginFuelChangeOver,82517.18,0.7234,216.0,Sailing,9807.25,25.0,North,89.0,West,8.2,0.0,8.2,34.8,0.0,34.8,0.0,0.0,198.6061,16.8333,214.8768,144.8024,3.0312,2.7577,vessel_1
836,2019-01-15,12:50,2019-01-15,06:50,2.0,1834,VEJOT,USLCH,EndFuelChangeOver,82517.18,0.7234,23.2,Sailing,9807.25,25.0,North,89.0,West,3.5,3.5,0.0,3.4,3.4,0.0,0.0,0.0,173.3446,2.0,159.5776,23.0832,0.3129,0.0107,vessel_1
837,2019-01-15,18:00,2019-01-15,12:00,5.1667,1834,VEJOT,USLCH,NoonSea,82517.18,0.7234,59.0,Sailing,9807.25,26.0,North,90.0,West,2.4,2.4,0.0,8.7,8.7,0.0,0.8,0.0,171.7,5.1667,164.7253,38.1514,0.7574,0.0176,vessel_1
838,2019-01-16,14:12,2019-01-16,08:12,20.2,1834,VEJOT,USLCH,EndOfSeaPassage,82517.18,0.7234,235.0,Sailing,8477.6033,29.0,North,93.0,West,10.0,10.0,0.0,34.3,34.3,0.0,3.8,0.0,200.6299,20.1667,193.9408,154.2086,3.0265,0.0712,vessel_1
839,2019-01-16,16:42,2019-01-16,10:42,2.5,1834,VEJOT,USLCH,StoppageArrival,82517.18,0.7234,12.5,Maneuvering,4048.8235,29.0,North,93.0,West,1.1,1.1,0.0,1.4,1.4,0.0,0.4,0.0,203.4037,1.7,177.7813,9.2974,0.1423,0.0043,vessel_1
844,2019-01-19,13:12,2019-01-19,07:12,10.0,1834,USLCH,USXAS,Arrival,82517.18,0.7234,60.0,Maneuvering,7659.2405,30.0,North,93.0,West,0.5,0.5,0.0,12.3,12.3,0.0,2.2,0.0,203.283,7.9,201.8389,48.09,1.1118,0.0252,vessel_1
848,2019-01-21,05:18,2019-01-20,23:18,5.9,1901,USLCH,USXAS,BeginOfSeaPassage,0.0,0.0,52.0,Maneuvering,8181.8182,29.0,North,93.0,West,0.5,0.5,0.0,8.1,8.1,0.0,1.4,0.0,180.0036,5.5,208.1516,32.06,0.7305,0.0168,vessel_1
849,2019-01-21,07:00,2019-01-21,01:00,1.7,1901,USLCH,USXAS,EndOfSeaPassage,0.0,0.0,10.0,Sailing,4705.8824,29.0,North,93.0,West,0.0,0.0,0.0,1.2,1.2,0.0,0.3,0.0,150.003,1.7,196.0823,4.809,0.113,0.0025,vessel_1
853,2019-01-21,20:06,2019-01-21,14:06,1.0,1901,USLCH,USXAS,BeginOfSeaPassage,0.0,0.0,1.5,Maneuvering,5032.0,29.0,North,93.0,West,0.2,0.2,0.0,0.5,0.5,0.0,0.2,0.0,198.7321,0.5,250.005,2.8854,0.0527,0.0015,vessel_1
854,2019-01-22,06:06,2019-01-22,00:06,10.0,1901,USLCH,USXAS,EndOfSeaPassage,0.0,0.0,101.0,Sailing,6642.1,28.0,North,95.0,West,0.0,0.0,0.0,13.5,13.5,0.0,1.3,0.0,203.253,10.0,200.004,47.4488,1.1529,0.0249,vessel_1
855,2019-01-22,07:54,2019-01-22,01:54,1.8,1901,USLCH,USXAS,StoppageArrival,0.0,0.0,6.0,Maneuvering,2856.9231,28.0,North,95.0,West,0.1,0.1,0.0,0.8,0.8,0.0,0.3,0.0,215.4055,1.3,193.8023,3.8472,0.0817,0.002,vessel_1
859,2019-01-24,16:48,2019-01-24,10:48,3.8,1901,USXAS,USGLS,Arrival,0.0,0.0,30.0,Maneuvering,2907.6471,0.0,0,0.0,0,0.3,0.3,0.0,1.2,1.2,0.0,0.7,0.0,242.7724,1.7,204.6824,7.0532,0.1379,0.0037,vessel_1
864,2019-01-27,14:18,2019-01-27,08:18,1.4,1901,USXAS,USGLS,BeginOfSeaPassage,85741.06,0.7517,8.0,Maneuvering,7180.9091,28.0,North,95.0,West,0.1,0.1,0.0,1.7,1.7,0.0,0.3,0.0,215.2214,1.1,225.5684,6.7326,0.1536,0.0035,vessel_1
865,2019-01-27,17:30,2019-01-27,11:30,3.2,1901,USXAS,USGLS,EndOfSeaPassage,85741.06,0.7517,45.0,Sailing,11740.625,28.0,North,94.0,West,0.0,0.0,0.0,7.2,7.2,0.0,0.4,0.0,191.6461,3.2,168.7797,24.3656,0.5982,0.0128,vessel_1
866,2019-01-27,18:00,2019-01-27,12:00,0.5,1901,USXAS,USGLS,NoonRiver,85741.06,0.7517,4.0,Maneuvering,1283.3333,28.0,North,94.0,West,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.0,259.7454,0.3,222.2266,0.9618,0.0144,0.0005,vessel_1
